City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Bida,NG,2020-10-22 02:04:56,9.08,6.02,76.03,70,99,0.69
278,Uaua,BR,2020-10-22 02:04:56,-9.84,-39.48,71.46,80,0,14.45
279,Corinto,GR,2020-10-22 01:58:52,37.94,22.96,64.0,48,0,5.03
280,Porto Belo,BR,2020-10-22 02:02:13,-27.16,-48.55,73.4,83,40,6.93
281,Santa Vitoria Do Palmar,BR,2020-10-22 02:04:57,-33.52,-53.37,58.55,76,91,15.26
282,Cap Malheureux,MU,2020-10-22 01:59:41,-19.98,57.61,71.01,84,48,1.01
283,Bertoua,CM,2020-10-22 02:04:57,4.58,13.68,66.72,97,100,2.06
284,Carutapera,BR,2020-10-22 02:04:57,-1.2,-46.02,78.44,81,87,6.87
285,Durazno,UY,2020-10-22 02:04:57,-33.41,-56.5,54.48,93,92,15.95
286,Urengoy,RU,2020-10-22 02:04:58,65.97,78.37,15.53,97,84,4.56
287,Muros,ES,2020-10-22 01:58:30,42.78,-9.06,55.0,96,19,17.2
288,Mafeteng,LS,2020-10-22 02:04:58,-29.82,27.24,56.73,70,52,6.04
289,Weligama,LK,2020-10-22 02:04:58,5.97,80.42,80.58,82,3,11.74
290,Marzuq,YE,2020-10-22 02:04:52,14.4,46.47,65.95,27,8,2.89
291,Clyde River,CA,2020-10-22 01:58:45,70.47,-68.59,15.8,78,1,5.82
292,Mbandaka,CD,2020-10-22 02:04:59,0.05,18.26,70.21,95,100,1.45
293,Amapa,BR,2020-10-22 02:04:59,1.0,-52.0,77.56,74,12,5.12
294,Krasnopillya,UA,2020-10-22 02:04:59,50.77,35.26,45.75,80,100,4.38
295,Tipitapa,NI,2020-10-22 02:05:00,12.2,-86.1,78.8,88,40,4.7
296,Gayny,RU,2020-10-22 02:05:00,60.31,54.32,26.47,96,100,9.4
297,Lucapa,AO,2020-10-22 02:05:00,-8.42,20.74,66.81,95,100,1.88
298,Tsabong,BW,2020-10-22 02:05:00,-26.02,22.4,75.36,41,1,21.05
299,Portage,US,2020-10-22 02:05:00,41.17,-81.2,57.99,93,90,1.86
300,Sinnamary,GF,2020-10-22 02:00:13,5.38,-52.95,79.75,83,0,9.75
301,Sikandarpur,IN,2020-10-22 02:05:01,26.05,84.05,76.96,66,0,4.21
